month	total	trivial	nontrivial
2014-05-01	10	4	6
2014-06-01	66	66	0
2014-07-01	4	4	0
2014-08-01	12	11	1
2014-09-01	1383	1383	0
2014-10-01	8	8	0
2014-11-01	6	6	0
2014-12-01	56	56	0
2015-01-01	2	2	0
2015-02-01	44	44	0
2015-03-01	16	15	1
2015-04-01	1	0	1
2015-05-01	3	2	1
2015-06-01	17	14	3
2015-08-01	9	4	5
2015-10-01	4	3	1
2015-11-01	2	0	2
2015-12-01	11	11	0
2016-01-01	2	2	0
2016-02-01	14	14	0
2016-03-01	25	22	3
2016-04-01	242	146	96
2016-05-01	462	357	105
2016-06-01	898	262	636
2016-07-01	1146	275	871
2016-08-01	949	201	748
2016-09-01	312	33	279
2016-10-01	2	2	0
2016-11-01	3	0	3
2016-12-01	3	1	2
2017-01-01	10	0	10
2017-02-01	1	0	1
2017-03-01	6	1	5
2017-04-01	13	0	13
2017-05-01	12	0	12
2017-06-01	11	1	10
2017-07-01	3	0	3
2017-08-01	13	0	13
2017-09-01	53	50	3
2017-10-01	16	0	16
2017-11-01	13	0	13
2017-12-01	7	5	2
2018-01-01	19	0	19
2018-02-01	5	0	5
