effective_ringsize	ring1	ring2	ring3	ring4	ring5	ring6	ring7	ring8	ring9	ring10
1	0	626286	1787202	957558	456821	74786	251764	4371	3588	32628
2	0	81500	604032	284090	249550	40039	115654	3662	2471	27673
3	0	0	2105256	69078	114617	16958	40546	2141	1252	19091
4	0	0	0	175862	101398	7536	12232	989	621	13034
5	0	0	0	0	2364961	6160	5552	463	286	9052
6	0	0	0	0	0	177377	20084	456	227	6426
7	0	0	0	0	0	0	629473	3444	253	4727
8	0	0	0	0	0	0	0	102840	1396	3502
9	0	0	0	0	0	0	0	0	32757	3047
10	0	0	0	0	0	0	0	0	0	120642
